,id,name,other_information,permalink,rectype
0,103673,"SKYBRIDGE CAPITAL II, L.P.",No 13F filings,skybridge-capital-ii-l-p,filer
0,10434,Copeland Jananne A.,No 13F filings,copeland-jananne-a,filer
0,106898,PALOMINO LTD,No 13F filings,palomino-ltd,filer
0,107378,"GOTHAM ASSET MANAGEMENT, LLC",Last 13F Filed on 2015-09-30,gotham-asset-management-llc,filer
0,10764,Burke Herbert Bank Trust Co ,BHRB ,bhrb,stock
0,108346,OPUS MAGNUM AMERIS INC NEW,OPUS ,tigi,stock
0,108455,U-TREND LTD.,No 13F filings,u-trend-ltd,filer
0,108641,JCRA FINANCIAL LLC,No 13F filings,jcra-financial-llc,filer
0,109522,Cellomics Inc,CLMX ,clmx,stock
0,109616,AVENUE A INC,AQNT ,aqnt-renamed,stock
0,109789,Pacific Energy and Mining Co ,PEMC ,pemc,stock
0,114189,"CEDARVIEW OPPORTUNITIES I, LTD.",No 13F filings,cedarview-opportunities-i-ltd,filer
0,114677,PENSATO EUROPA FUND LTD,No 13F filings,pensato-europa-fund-ltd,filer
0,114848,"ALTUM CREDIT FUND, LTD.",No 13F filings,capstone-altum-credit-fund-ltd,filer
0,115639,POLYGON GLOBAL PARTNERS LP,No 13F filings,polygon-global-partners-lp,filer
0,115938,CONVERTED ORGANICS INC NEW COM,COIND ,coin-3,stock
0,117221,Fortress Biotech,FBIO ,cndo,stock
0,117254,Parallax Health,PRLX ,edvpe,stock
0,119314,LIZARD INTERNATIONAL FUND LLC,No 13F filings,lizard-international-fund-llc,filer
0,1200,GLENHILL ADVISORS LLC,Last 13F Filed on 2015-09-30,glenhill-advisors-llc,filer
0,1203,"GLENVIEW CAPITAL MANAGEMENT, LLC",Last 13F Filed on 2015-09-30,glenview-capital-management-llc,filer
0,120912,Oldwebsites com Inc,OLDW ,oldwe,stock
0,1219,GOLDENTREE ASSET MANAGEMENT LP,Last 13F Filed on 2015-09-30,goldentree-asset-management-lp,filer
0,122130,SOLUS LLC,No 13F filings,solus-llc,filer
0,1221,GOLDMAN JAY G,Last 13F Filed on 2010-12-31,goldman-jay-g,filer
0,123583,NEW FRONTIERS KC INDIA FUND,NFIFX ,nfifx,stock
0,12411,SEERY GERALD B,No 13F filings,seery-gerald-b,filer
0,124549,STARBOARD VALUE LP,Last 13F Filed on 2015-09-30,starboard-value-lp,filer
0,124963,"MUIRFIELD CAPITAL PARTNERS, L.P.",No 13F filings,muirfield-capital-partners-l-p,filer
0,1266,GREYWOLF CAPITAL MANAGEMENT LP,Last 13F Filed on 2015-09-30,greywolf-capital-management-lp,filer
0,126950,HILDENE OPPORTUNITIES FUND LP,No 13F filings,hildene-opportunities-fund-lp,filer
0,127098,DYAL R THOMAS,No 13F filings,dyal-r-thomas,filer
0,12903,Vanguard Wellington,VWELX ,vwelx,stock
0,1295,HALCYON ASSET MANAGEMENT LLC,Last 13F Filed on 2014-09-30,halcyon-asset-management-llc,filer
0,131424,ACADIAN TIMBER,ACAZF.PK ,acazf-2,stock
0,131636,Passport Potash,PPRTF ,pprtf,stock
0,132640,"R&R ORCHARDS, LLC",No 13F filings,r-amp-r-orchards-llc,filer
0,133111,Chilton Kevin P.,No 13F filings,chilton-kevin-p,filer
0,134581,KOLASCO CORP COM 11/10/2014 Non-Confidential,KLSC ,klsc,stock
0,134642,PureFunds ISE Diamond/Gemstone ETF,GEMS ,gems,stock
0,13700,BlackRock Exchange BlackRock,STSEX ,stsex,stock
0,13825,Canyon Bancorp,CYBA ,cyba,stock
0,138755,Gladstone Land Corporation,LAND ,land,stock
0,13880,ELLINGTON KIMBERLY J,No 13F filings,ellington-kimberly-j,filer
0,139011,PETERSON STUART L,No 13F filings,peterson-stuart-l,filer
0,139232,Monarchy Venture,MONK ,monk,stock
0,139774,Omega Commercial,OCFN ,ocfn,stock
0,139876,Zais Grp Hldg A,ZAIS ,htwo-2,stock
0,140718,Voya Financl Inc,VOYA ,voya,stock
0,142160,ARCHVIEW MASTER FUND LTD,No 13F filings,archview-master-fund-ltd,filer
0,142,Talisman Energy Inc ,TLM ,tlm,stock
0,145370,"OUTPOINT CAPITAL, LP",No 13F filings,outpoint-capital-lp,filer
0,147891,CAIRNS ANN,No 13F filings,cairns-ann,filer
0,151,"ANCHORAGE CAPITAL GROUP, L.L.C.",Last 13F Filed on 2015-09-30,anchorage-advisors-llc,filer
0,155656,JHL&S LLC,No 13F filings,jhl-amp-s-llc,filer
0,158113,"QUANTZ QUARK EQUITY MARKET NEUTRAL FUND, LP",No 13F filings,quantz-quark-equity-market-neutral-fund-lp,filer
0,159380,COUNTERPOINT LLC,No 13F filings,counterpoint-llc,filer
0,161866,U S GLOBAL INVESTORS FUNDS EASTERN EUROPEAN FUND,EUROX ,eurox,stock
0,161892,BROOKFIELD RENEWABLE,BRPFF ,brpff-3,stock
0,162982,BenefitFocus Inc,BNFT ,bnft-2,stock
0,16542,HAWTHORNE MARIA R,No 13F filings,hawthorne-maria-r,filer
0,165781,Bitcoin Shop Inc,BTCS ,tucnd,stock
0,166580,"STRUCTURED PORTFOLIO MANAGEMENT, L.L.C.",No 13F filings,structured-portfolio-management-l-l-c,filer
0,16677,Henderson Robert S,No 13F filings,henderson-robert-s,filer
0,167538,ALCENTRA CAPITAL,ABDC ,abdc,stock
0,168159,Panorama Petrole,AZUEF ,azued,stock
0,170783,CHINA PREMIUM,CPLYE ,cply,stock
0,1708,"LITESPEED MANAGEMENT, L.L.C.",Last 13F Filed on 2015-09-30,litespeed-management-llc,filer
0,171597,"VARADERO PARTNERS, L.P.",No 13F filings,varadero-partners-l-p,filer
0,171725,Merrill Lynch Co Inc MITTS S P 500 Index due 9/04/2009,MKP ,mkp,stock
0,171898,"MONEDA ABSOLUTE RETURN FUND, LTD.",No 13F filings,moneda-absolute-return-fund-ltd,filer
0,172934,HYUNDAI MOBIS,HYPLF ,hyplf,stock
0,176397,ZWEIG-DIMENNA ASSOCIATES LLC,Last 13F Filed on 2015-09-30,zweig-dimenna-associates-llc,filer
0,176467,BAYVIEW FINANCIAL PROPERTY TRUST,No 13F filings,bayview-financial-property-trust,filer
0,179146,Showa Denko K K ,4004-Tokyo ,4004-tokyo,stock
0,183566,ROTELLA ROBERT P,Last 13F Filed on 2012-06-30,rotella-robert-p,filer
0,189201,MERION INVESTMENT MANAGEMENT LP,Last 13F Filed on 2015-09-30,merion-investment-management-lp,filer
0,191041,Newfleet Multi,NFLT ,nflt,stock
0,191069,Guggenheim S P,EWRE ,ewre,stock
0,191688,VERTU MOTORS,V2N.BE ,v2nbe,stock
0,192148,CQS DIVERS GBP,CQS.L ,cqsl,stock
0,192220,FIRSTGROUP,FGR.SG ,fgrsg,stock
0,192805,GROUP PLC ORD 2P,PARK ,park,stock
0,193340,GROUP PLC ORD 150P,BEACH ,beach,stock
0,193694,Q-FREE ASA SHS ,QFREF ,qfref,stock
0,196169,PROVIDENCE HALL,No 13F filings,providence-hall,filer
0,200161,"KERRISDALE ADVISERS, LLC",Last 13F Filed on 2015-09-30,kerrisdale-advisers-llc,filer
0,2002,NEWBROOK CAPITAL ADVISORS LP,Last 13F Filed on 2015-09-30,newbrook-capital-advisors-lp,filer
0,201839,WYETREE YIELD DISTRIBUTION FUND LP,No 13F filings,wyetree-yield-distribuion-fund-lp,filer
0,2021,NOMURA HOLDINGS INC,Last 13F Filed on 2015-09-30,nomura-holdings-inc,filer
0,203277,DUNNE PETER C,No 13F filings,dunne-peter-c,filer
0,205848,Vardeman Ryan L.,No 13F filings,vardeman-ryan-l,filer
0,206134,"COHERENCE CAPITAL SPECTRUM FUND ONSHORE, LP",No 13F filings,coherence-capital-spectrum-fund-onshore-lp,filer
0,20897,QUINN JEFFRY N,No 13F filings,quinn-jeffry-n,filer
0,210073,"SPRINGSHOT, INC.",No 13F filings,springshot-inc,filer
