CIK,Company,State/Country
0000002646,Voya INTERMEDIATE BOND PORTFOLIOformerly: AETNA INCOME SHARES (filings through 2002-03-25)ING INTERMEDIATE BOND PORTFOLIO (filings through 2014-04-07)ING VP BOND PORTFOLIO (filings through 2004-11-24)ING VP INTERMEDIATE BOND PORTFOLIO (filings through 2009-05-06),AZ
0000002663,Voya MONEY MARKET PORTFOLIOformerly: AETNA VARIABLE ENCORE FUND (filings through 2002-03-25)AETNA VARIABLE ENCORE FUND INC (filings through 2002-01-10)ING MONEY MARKET PORTFOLIO (filings through 2014-04-07)ING VP MONEY MARKET PORTFOLIO (filings through 2009-05-06),AZ
0000002664,Voya VARIABLE FUNDSformerly: AETNA VARIABLE FUND (filings through 2002-04-19)ING VARIABLE FUNDS (filings through 2014-04-07),AZ
0000003398,AEIRE CORPSIC:3661- TELEPHONE &amp; TELEGRAPH APPARATUSformerly: ALDEN ELECTRONICS INC (filings through 1999-02-16),FL
0000006578,THE ANGELOFF COMPANYformerly: ANGELOFF CO                                             /BD (filings through 2002-04-05),CA
0000008565,"COMMONWEALTH BANK OF AUSTRALIASIC:6029- COMMERCIAL BANKS, NEC",C3
0000009217,PERRY &amp; COSIC:6199- FINANCE SERVICES,GA
0000011454,BERGEN BRUNSWIG CORPSIC:5122- WHOLESALE-DRUGS PROPRIETARIES &amp; DRUGGISTS&#39; SUNDRIES,CA
0000018886,"WOLVERINE HOLDING CORP.SIC:1400- MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)formerly: CENTURY LABORATORIES INC (filings through 2002-08-14)VISTA CONTINENTAL CORP (filings through 2008-10-30)",GA
0000019469,VIRTUS SERIES FUNDformerly: PHOENIX SERIES FUND (filings through 2008-06-27),MA
0000019481,"Virtus Investment Advisers, Inc.formerly: PHOENIX INVESTMENT COUNSEL INC (filings through 2008-09-02)",CT
0000019731,CANAL CorpSIC:2650- PAPERBOARD CONTAINERS &amp; BOXESformerly: CHESAPEAKE CORP /VA/ (filings through 2009-08-03),VA
0000020691,"CLARION CAPITAL CORPSIC:6799- INVESTORS, NEC",OH
0000024924,Voya CORPORATE LEADERS TRUSTformerly: ING CORPORATE LEADERS TRUST (filings through 2014-03-28)LEXINGTON CORPORATE LEADERS TRUST FUND (filings through 2000-05-30)PILGRIM CORPORATE LEADERS TRUST FUND (filings through 2001-04-27),AZ
0000028601,"VOYA RETIREMENT ADVISORS, LLCformerly: CITISTREET ADVISORS LLC (filings through 2008-02-29)CITISTREET ADVISORS LLC                                 /BD (filings through 2002-03-01)ING INVESTMENT ADVISORS, LLC (filings through 2014-03-04)",CT
0000029504,OMEGA COMMERCIAL FINANCE CORPSIC:6153- SHORT-TERM BUSINESS CREDIT INSTITUTIONSformerly: DOL RESOURCES INC (filings through 2007-08-01),FL
0000034273,VIRTUS EQUITY TRUSTformerly: NATIONAL WORLDWIDE OPPORTUNITIES FUND INC (filings through 1994-02-25)PHOENIX ABERDEEN WORLDWIDE OPPORTUNITIES FUND (filings through 2004-06-28)PHOENIX EQUITY TRUST (filings through 2008-10-06)PHOENIX WORLDWIDE OPPORTUNITIES FUND (filings through 1998-10-08),MA
0000036032,REGIONS FINANCIAL CORPSIC:6021- NATIONAL COMMERCIAL BANKSformerly: FIRST ALABAMA BANCSHARES INC (filings through 1994-04-12),AL
0000037039,THE FIRST WASHINGTON FINANCIAL CORPORATIONformerly: FIRST WASHINGTON FINANCIAL CORP                         /BD (filings through 2002-03-01),VA
0000038465,THE FOURTEEN RESEARCH CORPORATIONformerly: FOURTEEN RESEARCH CORP                                  /BD (filings through 2002-01-30),NY
0000042343,GOLDMAN HERBERT,
0000043281,GREAT AMERICAN INSURANCE CO,OH
0000043287,GREAT AMERICAN MANAGEMENT &amp; INVESTMENT INCSIC:3564- INDUSTRIAL &amp; COMMERCIAL FANS &amp; BLOWERS &amp; AIR PURIFYING EQUIP,IL
0000044402,NEUBERGER BERMAN EQUITY FUNDSformerly: NEUBERGER &amp; BERMAN EQUITY FUNDS (filings through 1998-10-28),NY
0000046267,"HAWTHORNE FINANCIAL CORPSIC:6035- SAVINGS INSTITUTION, FEDERALLY CHARTERED",CA
0000046831,HENDERSON BROTHERS INC                                  /BD,NY
0000048595,STARWOOD HOTELS &amp; RESORTSSIC:6798- REAL ESTATE INVESTMENT TRUSTSformerly: HOTEL INVESTORS TRUST /MD/ (filings through 1995-02-10)STARWOOD LODGING TRUST (filings through 1998-02-12),NY
0000050825,H2C SECURITIES INC.formerly: G EQUITY INVESTMENT GROUP LTD (filings through 2002-03-07)G EQUITY INVESTMENT GROUP LTD. (filings through 2012-02-27),CA
0000059440,VECTOR GROUP LTDSIC:2111- CIGARETTESformerly: BROOKE GROUP LTD (filings through 2000-04-13),FL
0000060849,LUFKIN INDUSTRIES INCSIC:3560- GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT,TX
0000062418,"MARK IV INDUSTRIES INCSIC:3050- GASKETS, PACKAGING AND SEALING DEVICES &amp; RUBBER &amp; PLASTIC HOSE",NY
0000062741,MARSHALL &amp; ILSLEY CORP/WI/SIC:6021- NATIONAL COMMERCIAL BANKS,WI
0000067517,MONARCH CEMENT COSIC:3270- CONCRETE GYPSUM  PLASTER PRODUCTS,KS
0000067678,"MONROE FINANCIAL PARTNERS, INC.formerly: MONROE SECURITIES, INC. (filings through 2013-02-19)",IL
0000069067,"PREMIUMWEAR INCSIC:2320- MEN&#39;S &amp; BOYS&#39; FURNISHINGS, WORK CLOTHING, AND ALLIED GARMENTSformerly: MUNSINGWEAR INC (filings through 1996-05-21)",MN
0000069596,"ALLIANZ LIFE FINANCIAL SERVICES, LLCformerly: USALLIANZ INVESTOR SERVICES, LLC (filings through 2005-02-24)",MN
0000072499,ALLIANZ LIFE INSURANCE CO OF NORTH AMERICASIC:6311- LIFE INSURANCE,MN
0000073520,"VOYA FINANCIAL ADVISORS, INC.formerly: ING FINANCIAL PARTNERS, INC. (filings through 2014-03-04)WASHINGTON SQUARE SECURITIES, INC. (filings through 2003-03-03)",IA
0000074206,OLD DOMINION INVESTORS TRUST INC,VA
0000078778,"US BANCORP INVESTMENTS INCSIC:6211- SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIESformerly: PIPER JAFFRAY COMPANIES INC (filings through 1998-02-19)U S BANCORP PIPER JAFFRAY COMPANIES INC (filings through 2003-12-19)",MN
0000080019,ALLIANZ LIFE INSURANCE CO OF NEW YORKformerly: PREFERRED LIFE INSURANCE CO OF NEW YORK (filings through 2002-11-18),MN
0000081909,"SAMUEL A. RAMIREZ &amp; COMPANY, INC.",NY
0000091693,COINMACH CORPSIC:7200- SERVICES-PERSONAL SERVICES,NY
0000093102,"SPRINGS INDUSTRIES INCSIC:2211- BROADWOVEN FABRIC MILLS, COTTON",SC
0000100378,TWIN DISC INCSIC:3560- GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT,WI
0000103317,GREAT AMERICAN RECREATION INCSIC:7990- SERVICES-MISCELLANEOUS AMUSEMENT &amp; RECREATION,NJ
0000105567,"WELLINGTON HALL LTDSIC:2511- WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)",NC
0000110055,"BLACKROCK BALANCED CAPITAL FUND, INC.formerly: MERRILL LYNCH BALANCE CAPITAL FUND INC (filings through 2005-12-02)MERRILL LYNCH BALANCED CAPITAL FUND INC (filings through 2006-09-25)MERRILL LYNCH CAPITAL FUND INC (filings through 2000-05-31)",DE
0000110471,"WOLVERINE WORLD WIDE INC /DE/SIC:3140- FOOTWEAR, (NO RUBBER)",MI
0000201283,TALISMAN ENERGY INCSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,A0
0000202685,MONARCH SERVICES INCSIC:2721- PERIODICALS:  PUBLISHING OR PUBLISHING AND PRINTINGformerly: MONARCH AVALON INC (filings through 1998-07-29),MD
0000202742,NOMURA ASSET MANAGEMENT USA INC/NY /ADV,NY
0000215826,STRATEGIC ADVISERS INC /MA/                             /ADV,MA
0000216557,"BLACKROCK BASIC VALUE FUND, INC.formerly: MERRILL LYNCH BASIC VALUE FUND INC (filings through 2006-09-27)",DE
0000276463,"BLACKROCK BOND FUND, INC.formerly: MERRILL LYNCH BOND FUND INC (filings through 2006-09-15)MERRILL LYNCH CORPORATE BOND FUND INC/NY (filings through 2003-08-04)",DE
0000278307,"THE BAKER GROUP, LPformerly: JAMES BAKER &amp; ASSOCIATES, A LIMITED PARTNERSHIP (filings through 2004-02-26)",OK
0000310806,"MARK BOYAR &amp; COMPANY, INC.formerly: BOYAR MARK &amp; CO INC                                     /BD (filings through 2002-03-28)",NY
0000312955,NORTHERN CAPITAL MANAGEMENT LLCformerly: NORTHERN CAPITAL MANAGEMENT INC (filings through 2001-07-06)NORTHERN CAPITAL MANAGEMENT LLC/WI/ (filings through 2003-10-02)NORTHERN CAPITAL MANAGEMENT LLC\WI\ (filings through 2014-05-07),WI
0000314051,"THE DRATEL GROUP, INC.formerly: DRATEL GROUP INC                                        /BD (filings through 2002-04-01)",NY
0000314309,"GLEACHER &amp; COMPANY SECURITIES, INC.formerly: BROADPOINT CAPITAL, INC. (filings through 2010-03-12)FIRST ALBANY CAPITAL INC. (filings through 2007-03-01)FIRST ALBANY CORPORATION (filings through 2003-03-03)",NY
0000316206,"STARWOOD HOTEL &amp; RESORTS WORLDWIDE, INCSIC:7011- HOTELS &amp; MOTELSformerly: HOTEL INVESTORS CORP (filings through 1995-02-13)STARWOOD HOTEL &amp; RESORTS WORLDWIDE INC (filings through 2011-12-12)STARWOOD LODGING CORP (filings through 1998-01-26)",CT
0000317833,JACOR COMMUNICATIONS COSIC:4833- TELEVISION BROADCASTING STATIONSformerly: CITICASTERS INC (filings through 1997-01-06)GREAT AMERICAN COMMUNICATIONS CO (filings through 1994-02-11),TX
0000318492,"EURO PACIFIC CAPITAL, INC.",CT
0000319651,PROVIDENCE ENERGY CORPSIC:4924- NATURAL GAS DISTRIBUTION,RI
0000320017,"Caladrius Biosciences, Inc.SIC:8090- SERVICES-MISC HEALTH &amp; ALLIED SERVICES, NECformerly: CORNICHE GROUP INC /DE (filings through 2003-08-14)NeoStem, Inc. (filings through 2015-06-05)PHASE III MEDICAL INC/DE (filings through 2006-09-01)",NY
0000351607,CHESAPEAKE CAPITAL MANAGEMENT INC,MD
0000353153,CAIRN ENERGY USA INCSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000354007,PANORAMA SEPARATE ACCOUNT,MA
0000355411,"PANORAMA SERIES FUNDformerly: CONNECTICUT MUTUAL FINANCIAL SERVICES SERIES FUND I INC (filings through 1996-02-16)OPPENHEIMER PANORAMA SERIES FUND INC (filings through 2008-08-20)PANORAMA SERIES FUND INC (filings through 2002-09-05)PANORAMA SERIES FUND, INC (filings through 2012-08-21)",CO
0000355690,PARKER &amp; PARSLEY PETROLEUM COSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000700151,"CLG INVESTMENT COMPANY, INC.formerly: C. L. Glazer &amp; Company, Inc. (filings through 2006-02-28)GLAZER C L &amp; CO INC                                     /BD (filings through 2002-03-01)",CT
0000700854,ING CLARION PARTNERS LLC /ADVformerly: CLARION PARTNERS LLC                                    /ADV (filings through 2006-06-07),NY
0000701869,INDEPENDENCE HOLDING COSIC:6311- LIFE INSURANCE,CT
0000704159,VBI VACCINES INC.SIC:2836- BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)formerly: PAULSON CAPITAL (DELAWARE) CORP. (filings through 2014-07-29)PAULSON CAPITAL CORP (filings through 2014-03-21),MA
0000705671,OMEGA FINANCIAL CORP /PA/SIC:6021- NATIONAL COMMERCIAL BANKS,PA
0000708491,"THE ADVISORS GROUP, INC.",MD
0000708522,SLS SECURITIES LIMITED PARTNERSHIP,WI
0000709064,THE BUCKINGHAM RESEARCH GROUP INCORPORATED,NY
0000709878,CAREMARK ULYSSES HOLDING CORP.SIC:6324- HOSPITAL &amp; MEDICAL SERVICE PLANSformerly: UNIVERSAL AMERICAN CORP. (filings through 2011-04-29)UNIVERSAL AMERICAN FINANCIAL CORP (filings through 2008-07-30)UNIVERSAL HOLDING CORP (filings through 1996-07-26),NY
